frame,x_raw,y_raw,r,sig_raw,peak,mass,mean,std,A,x,y,sig_x,sig_y,phi,area,dist_err,sigx_to_sigraw,sigy_to_sigraw,particle,delta_area,D,alpha,dist_to_boundary,dist_to_53bp1,sort_flag_boundary,sort_flag_53bp1
10,502,527,4,4,177,8589,106.037037037037,36.2268042243209,176.303150944605,501.609042309144,526.66011133933,3.61116365958134,3.31233555364195,-0.104908897740862,37.5778016921052,0.518046540082506,0.902790914895335,0.828083888410488,0,0.017119507703197,61128.7878691989,0.893718815291557,-66,-3,True,False
11,500,526,4,4,168,8395,103.641975308642,33.1615233838132,167.021904397597,500.352729180296,526.419683390373,3.76282653920055,3.41826272473489,-11.526020974108,40.4082004891478,0.548226251457259,0.940706634800138,0.854565681183722,0,0.075321031821753,61128.7878691989,0.893718815291557,-69,-3,True,False
12,501,527,4,4,167,8664,106.962962962963,33.1131410430869,170.808236446369,500.735317158492,527.072112883048,3.68338458014125,3.52327100024645,-0.242765614627314,40.770213673079,0.274330593427937,0.920846145035311,0.880817750061613,0,0.008958903874684,61128.7878691989,0.893718815291557,-66,-6,True,False
13,501,526,4,4,173,8891,109.765432098765,34.2118568735931,176.16614683751,501.201652057837,525.982140602701,3.6873678385407,3.47100875362595,-3.47597194015068,40.2088863744043,0.202441375469162,0.921841959635176,0.867752188406488,0,0.013768073505227,61128.7878691989,0.893718815291557,-69,-6,True,False
14,501,526,4,4,176,8808,108.740740740741,36.1761048540921,179.292789324259,500.920496631584,525.657268558983,3.36150619848195,3.5954551160455,28.9789911557623,37.9697432707828,0.35183181529145,0.840376549620489,0.898863779011375,0,0.055687767195832,61128.7878691989,0.893718815291557,-66,-6,True,False
15,500,525,4,4,177,8508,105.037037037037,36.4323978885855,176.86028299103,500.183527117502,525.241219000362,3.52485553079077,3.27056776231045,-1.88693687505709,36.2171561933506,0.303098678641381,0.881213882697693,0.817641940577612,0,0.046157464508874,61128.7878691989,0.893718815291557,-69,-3,True,False
16,502,525,4,4,175,8624,106.469135802469,37.0452130893238,179.308068215464,501.712641280896,524.943171153649,3.18535717530429,3.63294548018025,0.091382085283681,36.3552294637173,0.292924139023681,0.796339293826074,0.908236370045062,0,0.003812371949627,61128.7878691989,0.893718815291557,-66,-6,True,False
17,500,525,4,4,173,8657,106.876543209877,35.7299137100779,176.392800599806,500.168293419983,525.464263088272,3.39944074297297,3.56625619689731,1.828337641805,38.0863967530453,0.493824756711345,0.849860185743241,0.891564049224328,0,0.047618109275192,61128.7878691989,0.893718815291557,-69,-3,True,False
18,500,525,4,4,178,8580,105.925925925926,36.1132572961471,177.579475630133,499.84193864558,525.049114553373,3.28770469693121,3.52218632189535,-13.0070845750465,36.3793555167056,0.165516256343559,0.821926174232802,0.880546580473838,0,0.044820234568481,61128.7878691989,0.893718815291557,-69,-6,True,False
19,500,526,4,4,177,8695,107.345679012346,38.5996099557557,183.23701590545,500.034159015822,525.502420921206,3.28558999934467,3.43270493526385,-0.839505850051573,35.4323302402611,0.498750216055807,0.821397499836169,0.858176233815962,0,0.026031942099952,61128.7878691989,0.893718815291557,-69,-3,True,False
20,500,525,4,4,164,8181,101,34.1272129929572,165.743353701368,500.395311553004,525.499227092246,3.3899576121633,3.66064599532781,-1.98348867742732,38.9853890687249,0.636787965943705,0.847489403040826,0.915161498831952,0,0.100277311832752,61128.7878691989,0.893718815291557,-69,-3,True,False
